naslov,postavka_neto,lokacija,opis,prosta_mesta,trajanje,delovnik,sifra,narava_dela
DELO V SKLADIŠČU,"5,26","LJUBLJANA, BTC","Si želiš postati del modre ekipe in pomembno prispevati k rasti njihove blagovne znamke? V svoje vrste sprejmejo le najboljše kandidate. Če si najboljši, se prijavi oz. pokliči vodjo poslovalnice.",1, DLJE ČASA (OBČASNO), Izmensko,303380, začasno in občasno delo

STREŽBA,"4,22",TRŽIČ,Podjetje išče polnoletno osebe za pomoč v strežbi hrane in pijače. Delovni so tudi vikendi.,3, DLJE ČASA (OBČASNO), Po dogovoru,303378, začasno in občasno delo

KOZMETIČNE STORITVE (PRODAJA),"5,49",KAMNIK,"Svetovanje strankam pri izbiri kozmetike, ličenje ter prodaja lepotnih in kozmetičnih izdelkov. CV in prijavo s pripisom telefonske številke pošlji na e-mail.",1, DLJE ČASA (OBČASNO), Po dogovoru,303371, začasno in občasno delo

KOZMETIČNE STORITVE (PRODAJA),"5,49",LJUBLJANA,"Svetovanje strankam pri izbiri kozmetike, ličenje ter prodaja lepotnih in kozmetičnih izdelkov. CV in prijavo s pripisom telefonske številke pošlji na e-mail.",1, DLJE ČASA (OBČASNO), Po dogovoru,303370, začasno in občasno delo

DELO V KUHINJI,"5,07",KAMNIK,"Delo poteka v manjšem, prijetnem hotelu v središču Kamnika. Delo obsega: - priprava zajtrkov za hotelske goste - priprava pogostitev, prigrizkov - skrb za red in čistočo kuhinjskih prostorov. Če te veseli prijetno in energično delo v turizmu, se pridruži ekipi!",2, DLJE ČASA (OBČASNO), Po dogovoru,303366, začasno in občasno delo

POMOČ V KUHINJI,"5,00",LJUBLJANA BTC,Delo v novi veganski in vegetarijanski restavraciji. Pomoč v kuhinji in pomivanje posode. Pokliči ali pošlji prijavo na e-mail.,2, DLJE ČASA (OBČASNO), Izmensko,302764, začasno in občasno delo

DELO V KUHINJI,"4,22",SEŽANA,"Podjetje potrebuje polnoletno osebo za pomoč pri pripravi hrane, čiščenju posode in pri skrbi za čistočo v kuhinji. Pogoj je veselje do dela.",1, DLJE ČASA (OBČASNO), Izmensko,302752, začasno in občasno delo

STREŽBA HRANE IN PIJAČE,"6,00",LJUBLJANA,Strežba hrane in pijače ter skrb za čistočo delovnega mesta.,3, 3 MESECE, Po dogovoru,302751, začasno in občasno delo

STREŽBA,"5,50",CENTER LJUBLJANE,"Iščejo študenta za delo v strežbi, pomoč natakarju v butični restavraciji. Delo bo potekalo tudi med vikendi in prazniki. Pogoj: nad 18 let.",2, DLJE ČASA (OBČASNO), Popoldan,302749, začasno in občasno delo

DELO NA BENCINSKEM SERVISU,"5,07",RIBNICA,"Prodaja izdelkov in storitev strankam na bencinskem servisu. Delo na blagajni, priprava in postrežba, skrb za urejenost in čistočo prodajnih polic ter celotnega bencinskega servisa, pomoč strankam v avtopralnici. Delo tudi ob vikendih. Prijavo pošlji na email. Pogoj je starost nad 18 let.",1, DLJE ČASA (OBČASNO), Izmensko,302744, začasno in občasno delo

STREŽBA,"5,50",DOMŽALE,"Za strežbo v prijetnem okolju iščejo resno in urejeno osebo, zaželene izkušnje v strežbi. Kasneje tudi možnost zaposlitve.",2, DLJE ČASA (OBČASNO), Izmensko,302735, začasno in občasno delo

STREŽBA,"4,22",LOG IN/ALI STUDENEC,"Za delo v strežbi potrebujejo prijetno, komunikativno osebo, ki ima rada delo z ljudmi.",1, DLJE ČASA (OBČASNO), Po dogovoru,302699, začasno in občasno delo

STREŽBA,"4,50",STIČNA,"Iščejo dve osebi za strežbo pijače v novejšem lokalu. Pogoji so starost nad 18 let, zaželene izkušnje, resnost, točnost, komunikativnost. Iščejo tudi osebo, ki bo hkrati stregla in po dogovoru skrbela za vodenje lokala (nabava, urniki itd.). Možnost redne zaposlitve. Urna postavka je od 5,33 Ă˘Â‚Â¬ do 6,51 Ă˘Â‚Â¬ bruto.",2, DLJE ČASA (OBČASNO), Izmensko,302698, začasno in občasno delo

DEKLARIRANJE,"4,30",LJUBLJANA,"Deklariranje in pakiranje izdelkov. Pogoji: starost nad 18 let, delovne navade, zanesljivost, hitrost, natančnost ter razpoložljivost. Plačilo lahko doseže 6,51Ă˘Â‚Â¬/h.",10, DLJE ČASA (OBČASNO), Dopoldan,302697, začasno in občasno delo

VADITELJ,"10,00",NOVO MESTO IN OKOLICA,"Iščejo osebe za poučevanje plesa 1. stopnje, se pravi, 1.in 2. razred OŠ in 3. in 4. razred OŠ.

Potrebujejo vaditelje jazz baleta, akrobatike, klasičnega baleta in sodobnega plesa.

Zaželeno: študent/tka Fakultete za šport, dobro plesno znanje in veselje do dela z otroci.  Potreben je lasten prevoz. Prijave na mail.",3, DLJE ČASA (OBČASNO), Po dogovoru,302694, začasno in občasno delo

DEGUSTACIJE,"5,00",LJUBLJANA Z OKOLICO,"Podjetje potrebuje polnoletno, zanesljivo, urejeno in komunikativno osebo za izvajanje degustacij prehranskih izdelkov po večjih trgovskih centrih. Degustacije potekajo od četrtka do sobote in so celodnevne. Dela se torej povprečno dvakrat tedensko. Pogoji: izpit B kategorije in lasten prevoz. Zainteresirani pošljite prijavo z življenjepisom na e-mail.",1," DLJE ČASA (OBČASNO), PO DOGOVORU", Po dogovoru,301939, začasno in občasno delo

STREŽBA,"4,13",ŠKOFJA LOKA,"Podjetje išče polnoletno osebo z delovnimi navadami. Potrebujejo za delo v popoldanskem času in za čez vikende. Plačilo: 4,89 Ă˘Â‚Â¬/h bruto + 5 % od prometa.",1, DLJE ČASA (OBČASNO), Popoldan,301915, začasno in občasno delo

DELO NA BENCINSKEM SERVISU,"4,80",LJUBLJANA BARJE,"Podjetje potrebuje polnoletno, vestno, komunikativno in zanesljivo osebo za vsestransko pomoč na bencinskem servisu. Delo zajema polnjenje polic, delo na blagajni, čiščenje, svetovanje strankam... Delovni čas je po potrebi in dogovoru. Interesenti naj pokličejo.  Plačilo od 5,68 bruto Ă˘Â‚Â¬/h do 6,15 bruto  na uro - nočna izmena.",2," DLJE ČASA (OBČASNO), PO POTREBI IN DOGOVORU", Po dogovoru,301908, začasno in občasno delo

DELO V PROIZVODNJI,"4,65",ŽALEC,"Podjetje potrebuje polnoletne, zanesljive in vestne osebe za delo v proizvodnji. Gre za delo v treh izmenah, po dogovoru in potrebi. Plačilo za delo v dnevni izmeni je 5,5 Ă˘Â‚Â¬ bruto/h, v nočni pa 6 Ă˘Â‚Â¬ bruto/h. Interesenti naj pokličejo na kontakt podjetja.",3, DLJE ČASA (OBČASNO), Izmensko,301907, začasno in občasno delo

STREŽBA HRANE IN PIJAČE,"5,00",MIKLAVŽ,"Njihova kavarna je v Miklavžu, z lastnim parkirnim prostorom, v centru Miklavža, zraven se nahaja pošta, trgovina, pasji frizer in cvetličarna, modni butik. Delo je v mirnem in prijetnem okolju. Želijo, da imate delavne izkušnje ter ste iskreni, prijazni, urejeni in pošteni. Vsi, ki želite biti del njihovega tima, prijazno vabljeni na razgovor. Lahko pošljete tudi sms. Delati lahko začne takoj.",3, PO DOGOVORU, Izmensko,301906, začasno in občasno delo

STREŽBA,"4,13",PTUJ,"Podjetje potrebuje simpatični, polnoletni in komunikativni osebi za delo v strežbi pijače v prijatnem lokalu. Gostinski lokal je odprt od 7. do 23. ure. Dela se po dogovoru. Za prijavo pokličite na kontaktno številko podjetja.",2, DLJE ČASA (OBČASNO), Po dogovoru,301895, začasno in občasno delo

KLICNI CENTER,"4,13",LJUBLJANA,"Delo obsega telefonsko pridobivanje naročil (že obstoječa baza). Kompetence: komunikativnost, prodajna naravnanost. Nudijo dodatno plačilo po učinku. Prijave s prilogo Moje izkušnje sprejemajo na e-mail.",1, DLJE ČASA (OBČASNO), Dopoldan,301894, začasno in občasno delo

STREŽBA,"5,30",LJUBLJANA ŠIŠKA,Podjetje išče polnoletni osebi (zaželeno iz Šiške ali bližnje okolice) za delo v strežbi.,2, DLJE ČASA (OBČASNO), Izmensko,301875, začasno in občasno delo

PROGRAMIRANJE,"6,40",LJUBLJANA,"Če si študent magisterskega študija matematike, fizike ali računalništva in če želiš sodelovati pri razvoju produktov na področju digitalizacije, če ti delo na področju bazičnega razvoja pomeni strast in uresničitev življenjskih sanj, če poleg tega obvladaš programski jezik C/C++, Javascript ali podobne, objektno programiranje in poznavanje delovanja baz podatkov jih kontaktiraj.",2, DLJE ČASA (OBČASNO), Dopoldan,301865, začasno in občasno delo

BLAGAJNIK,"4,13",KOPER,"Vodilno podjetje na področju parfumerije, naravne kozmetike, papirnice, igrač in gospodinjstva išče več oseb za delo na blagajni. Pogoj je starost nad 18 let.",4, DLJE ČASA (OBČASNO), Izmensko,301841, začasno in občasno delo

STREŽBA,"5,00",MARIBOR,"Vabljeni v lokal na najbolj zabavni ulici v mestu, kjer vam na delu nikoli ne bo dolgčas. Potrebujejo polnoletni osebi za delo v strežbi v mladem kolektivu. Delovnik prilagajajo željam. Zahtevajo pridnost in resnost. Izkušnje so obvezne.",2, PO DOGOVORU, Po dogovoru,300759, začasno in občasno delo

SELITVE,"6,00",LJUBLJANA,"Podjetje išče fizično močne osebe za selitvena dela. Selitve običajno trajajo 8 ur. Termini za delo se določajo vsak teden sproti. Zaželen je vozniški izpit B kategorije, vendar ni pogoj.",5, PO DOGOVORU, Po dogovoru,300758, začasno in občasno delo

STREŽBA,"5,07",PTUJ,"Podjetje potrebuje polnoletno, izkušeno, pošteno in komunikativno osebo s pasivnim znanjem angleškega jezika za strežbo v casinoju . Delovni čas je po dogovoru. Interesenti naj pokličejo na kontakt podjetja.",1, DLJE ČASA (OBČASNO), Izmensko,300734, začasno in občasno delo

PRODAJA,"5,00",KRANJ,"Podjetje išče kandidata za prodajo v trgovini z oblačili. Pogoji: starost nad 21 let, občutek za estetiko, urejenost in prilagodljivost. Delovnik po dogovoru s podjetjem. Prijave sprejemajo na e-mail.",1, DLJE ČASA (OBČASNO), Izmensko,300717, začasno in občasno delo

POMOČ PRI PRODAJI (DELO V TRGOVINI),"5,07",MOJSTRANA,"Podjetje išče več polnoletnih oseb za delo v trgovini (polnjenje polic, blagajna). Nedeljska urna postavka je 7 Ă˘Â‚Â¬ bruto.",2, DLJE ČASA (OBČASNO), Po dogovoru,300693, začasno in občasno delo

BLAGAJNIK,"4,48","ŽEKOVEC, MOZIRJE","V svoje vrste vabijo osebo za delo na blagajni nihalke (prodajo vozovnic in različnih paketov za nihalko, izvajanje različnih obračunov vozovnic (boni, paketi, ...), izvajanje dnevnih zaključkov blagajn, skrb za materialno in finančno zalogo ter skrb za urejen, čist ter vzoren prostor blagajne.",1, PO DOGOVORU, Dopoldan,300690, začasno in občasno delo

STREŽBA,"4,13",MATERIJA (CCA 10 KM OD KOZINE),"Strežba v lokalu  poteka po dogovoru.  Zaželene izkušnje, niso pa pogoj.  Možno delo tudi samo med vikendom - nedelje so proste,  prilagajajo se urniku študenta/ke. Možnost dviga urne postavke (od 5,50 Ă˘Â‚Â¬/h neto oz. 6,51 Ă˘Â‚Â¬/h bruto) glede na ustvarjen promet.",2, PO DOGOVORU, Po dogovoru,300681, začasno in občasno delo

STREŽBA,"6,00",KRANJ,Podjetje išče osebo za delo v baru. Pogoj je starost nad 18 let. Delavnik po dogovoru s podjetjem.,2, DLJE ČASA (OBČASNO), Po dogovoru,300671, začasno in občasno delo

STREŽBA,"6,00",LJUBLJANA,"Podjetje potrebuje polnoletne kandidate za delo v strežbi. Pogoji: znanje angleškega jezika, spretnost in izkušnje s strežbo. Lahko se javite tudi samo za poletno delo.",10, DLJE ČASA (OBČASNO), Izmensko,300670, začasno in občasno delo

POMOČ V STREŽBI,"6,00",LJUBLJANA,Pomoč v strežbi. Pogoj je starost nad 18 let.,1, PO DOGOVORU, Po dogovoru,300648, začasno in občasno delo

DELO V KUHINJI (KUHAR),"8,45",KOPER,Delo kuharja/ice na dogodku. Prijavo pošljite na email podjetja.,1, PO DOGOVORU, Po dogovoru,299276, začasno in občasno delo

DELO V KUHINJI (KUHAR),"8,45",MURSKA SOBOTA,Delo kuharja/ice na dogodku. Prijavo pošljite na email podjetja.,1, PO DOGOVORU, Po dogovoru,299275, začasno in občasno delo

DELO V KUHINJI (KUHAR),"8,45",KRANJ,Delo kuharja/ice na dogodku. Prijavo pošljite na email podjetja.,1, PO DOGOVORU, Po dogovoru,299274, začasno in občasno delo

DELO V KUHINJI (KUHAR),"8,45",DOMŽALE-KAMNIK,Delo kuharja/ice na dogodku. Prijavo pošljite na email podjetja.,1, PO DOGOVORU, Po dogovoru,299273, začasno in občasno delo

DELO V KUHINJI (KUHAR),"8,45",LJUBLJANA,Delo kuharja/ice na dogodku. Prijavo pošljite na email podjetja.,1, PO DOGOVORU, Po dogovoru,299272, začasno in občasno delo

DELO V KUHINJI (KUHAR),"8,45",CELJE,Delo kuharja na dogodku. Prijavo pošljite na email podjetja.,1, PO DOGOVORU, Po dogovoru,299271, začasno in občasno delo

DELO V KUHINJI (KUHAR),"8,45",PTUJ,Delo kuharja/ice na dogodku. Prijavo pošljite na email podjetja.,1, PO DOGOVORU, Po dogovoru,299270, začasno in občasno delo

DELO V KUHINJI (KUHAR),"8,45",MARIBOR,Delo kuharja/ice na dogodku. Prijavo pošljite na email podjetja.,1, PO DOGOVORU, Po dogovoru,299269, začasno in občasno delo

PROGRAMIRANJE,"5,07",ŠENTILJ,Potrebujejo osebo za delo v baru. Večinoma se dela popoldan. Lokal je odprt do 20. ure. Zaželene so izkušnje.,1, DLJE ČASA (OBČASNO), Popoldan,299182, začasno in občasno delo

STREŽBA,"5,00",LJUBLJANA ZELENA JAMA,"Strežba pijače v okrepčevalnici. Delo poteka po dogovoru, lahko tudi samo med vikendi, med tednom potrebujejo pomoč bolj v popoldanskem času - od 15./16. ure dalje. Lokal je odprt do 21. ure.  Pogoja: osnovne izkušnje kuhanja kave in starost nad 17 let.",1, PO DOGOVORU, Po dogovoru,297302, začasno in občasno delo

STREŽBA HRANE IN PIJAČE,"5,00",ŠENTJANŽ PRI DRAVOGRADU,"Strežba hrane in pijače v hotelski restavraciji, zlaganje pogrinjkov, priprava miz. Pogoji so veselje do dela v strežbi, prijaznost, komunikativnost, prilagodljivost, fleksibilnost, urejenost ter starost nad 18 let. Zaželene, a ne nujne so izkušnje v gostinstvu in osnovno znanje tujih jezikov (angleščina in nemščina ali vsaj angleščina). Glede na znanje višja urna postavka.",2, PO DOGOVORU, Po dogovoru,297283, začasno in občasno delo

DELO V KUHINJI,"4,22",POLJČANE,Podjetje potrebuje tri osebe za pomoč v kuhinji.,3, DLJE ČASA (OBČASNO), Izmensko,297263, začasno in občasno delo

STREŽBA,"5,50",VIR PRI DOMŽALAH,"Podjetje potrebuje polnoletno osebo za strežbo pijače. Zaželene izkušnje, stimulacija do 8 Ă˘Â‚Â¬ neto. Fleksibilen delovnik.",1, DLJE ČASA (OBČASNO), Izmensko,297213, začasno in občasno delo

DELO S STRANKAMI (POBIRANJE PARKIRNINE),"4,50",BREZJE,"Turistično društvo išče polnoletno osebo za pomoč pri pobiranju parkirnine. Dela se med vikendi in prazniki. Kandidati/ke naj bodo iz bližnje okolice. Plačilo: 5,33 Ă˘Â‚Â¬/h bruto plus dodatek: 1% od prodanih kart poleti in 2% od prodanih kart pozimi.",1, DLJE ČASA (OBČASNO), Med vikendom,297201, začasno in občasno delo

STREŽBA,"4,22",PESNICA PRI MARIBORU,"Iščejo prijetno, polnoletno, zanesljivo in urejeno osebo za delo v gostinskem lokalu. Obseg dela je priprava in strežba pijač ter skrb za urejenost lokala in terase.",2, PO DOGOVORU, Po dogovoru,297183, začasno in občasno delo

STREŽBA,"5,00",DIVAČA,"Iščejo prijazno in zanesljivo osebo za strežbo pijače, slaščic, toplih sendvičev v novi  kavarni. Izkušnje so zaželene. Pogoj je starost nad 18 let. Možnost daljšega sodelovanja oz. kasnejše zaposlitve.",1, PO DOGOVORU, Izmensko,297157, začasno in občasno delo

DELO V SKLADIŠČU,"4,88",GROSUPLJE,Delo v skladišču. Delo poteka od 7. ali 8. ure dalje. Za prijavo pokličite.,3, DLJE ČASA (OBČASNO), Dopoldan,297150, začasno in občasno delo

SOBAR/ICA,"4,50","ZREČE, ROGLA, DOBRNA","Podjetje išče osebe za čiščenje in pospravljenje hotelskih sob. Plačilo je od 5,33 do 7,10 Ă˘Â‚Â¬/h bruto. Nudijo fleksibilen delovnik. Za več informacij jih pokliči.",3, DLJE ČASA (OBČASNO), Po dogovoru,297080, začasno in občasno delo

STREŽBA,"4,13",GORNJA RADGONA,Delo je v dveh lokalih.,4, PO DOGOVORU, Po dogovoru,297057, začasno in občasno delo

STREŽBA,"6,00",LJUBLJANA CENTER,"Prijeten lokal išče polnoletno osebo za delo v strežbi. Izkušnje niso potrebne. Lokal je odprt od 7. zjutraj do 3. ponoči,  vse dni v tednu. Delovnik je izmenski.",1, DLJE ČASA (OBČASNO), Izmensko,295082, začasno in občasno delo

INŠTRUKCIJE (INFORMATIKA),"7,61",LJUBLJANA,"Podjetje išče inštruktorja/ico INFORMATIKE. Nudijo prilagodljiv delovni čas, nagrade, brezplačna izobraževanja. Prijave sprejemajo preko spletne strani, navedene v podrobnostih oglasa.",1, DLJE ČASA (OBČASNO), Po dogovoru,295021, začasno in občasno delo

LAŽJA FIZIČNA DELA,"6,00",LJUBLJANE - ČRNUČE,"Vzdrževalna dela na objektu, razna dela po naročilu ter manjša lažja elektro popravila. Zaželena je elektro, poklicna ali tehnična smer. Zainteresirani pokličite ali se oglasite osebno v lokalu (vsak dan od 12.00 do 20.00).",1, PO DOGOVORU, Po dogovoru,295011, začasno in občasno delo

ZDRAVSTVENI TEHNIK,"5,07",LJUBLJANA,"Podjetje išče študente/tke z zaključeno srednjo zdravstveno šolo za pomoč pri delu v reševalnem vozilu, voznik- spremljevalec v reševalnem vozilu.",5, PO DOGOVORU, Po dogovoru,295003, začasno in občasno delo

STREŽBA,"5,00",LJUBLJANA,"Delo v strežbi. Izkušnje niso potrebne, so pa zaželene. Pogoj je starost nad 20 let. Možnost tedenskega plačila.",2, DLJE ČASA (OBČASNO), Izmensko,294994, začasno in občasno delo

POMOČ V TRGOVINI,"5,00",NOVO MESTO,Iščejo študenta za pomoč v prodaji v specializirani prodajalni z medicinskimi pripomočki. Pogoj je končana zdravstvena šola ali študent visoke šole za zdravstvene vede.,1," PO DOGOVORU,LAHKO TUDI ZA DLJE ČASA (OBČASNO)A (OB", Po dogovoru,294979, začasno in občasno delo

STREŽBA,"5,00",VRANSKO,"Podjetje išče osebo za pomoč v strežbi. Pogoji: prijaznost, poštenost in komunikativnost.",2," PO DOGOVORU, DLJE ČASA", Po dogovoru,294966, začasno in občasno delo

STREŽBA,"6,00",ŠKOFJA LOKA,Strežba v prijetnem lokalu. Pogoj je starost nad 18 let.,1, DLJE ČASA (OBČASNO), Izmensko,294930, začasno in občasno delo

STREŽBA HRANE IN PIJAČE,"6,00",LJUBLJANA,"Strežba hrane in pijače v gostilni z dolgoletno tradicijo. Zaželjeno dobro znanje angleščine, dobrodošle so tudi osnove kakega drugega jezika. Gostilna je razmeroma majhna, tako da je primerna za začetnike kot tudi za izkušene gostince, vsekakor pa so zaželjene kakršnekoli izkušnje.",2, PO DOGOVORU, Izmensko,294913, začasno in občasno delo

STREŽBA HRANE IN PIJAČE,"5,50",LJUBLJANA,"V mladem kolektivu iščejo prijaznega, polnoletnega  in nasmejanega natakarja/natakarico. Izkušnje so zaželjene.",2, DLJE ČASA (OBČASNO), Po dogovoru,294883, začasno in občasno delo

INŠTRUKCIJE,"7,61",KRANJ,Podjetje išče inštruktorja/ico kemije. Nudijo prilagodljiv delovni čas in možnost brezplačnih izobraževanj. Prijave sprejemajo preko spletne strani navedene v podrobnostih oglasa.,1, DLJE ČASA (OBČASNO), Po dogovoru,293375, začasno in občasno delo

POMOČ V TRGOVINI,"4,22",MARIBOR CENTER,Podjetje potrebuje osebo za pomoč v kitajski trgovini v centru Maribora. Pogoj: znanje angleškega jezika. Za razgovor se oglasite osebno v trgovini.,1, DLJE ČASA (OBČASNO), Po dogovoru,293354, začasno in občasno delo

ZDRAVSTVENA NEGA,"5,35",RADOVLJICA,"Pomoč in sodelovanje pri izvajanju zdravstvene nege in oskrbe vseh kategorij oskrbovancev, pomoč pri vzdrževanju ožjega oskrbovančevega okolja in njegovi higienski oskrbi, pomoč pri opazovanju in beleženju stanja oskrbovancev, pomoč oskrbovancem pri gibanju in transferju, pomoč pri transferju zdravstvenega in oskrbnega materiala, pomoč pri vodenju dokumentacije.",2, DLJE ČASA (OBČASNO), Po dogovoru,293312, začasno in občasno delo

POMOČ V KUHINJI (POMIVALEC),"6,50",LJUBLJANA,Iščejo pomivalca/pomivalko posode. Za prijavo pokliči.,1, DLJE ČASA (OBČASNO), Izmensko,293290, začasno in občasno delo

STREŽBA,"6,00",PODSMREKA PRI LJUBLJANI,Iščejo študenta za samostojno delo v strežbi. Pogoj je starost nad 18 let. Možnost redne zaposlitve.,2, DLJE ČASA (OBČASNO), Po dogovoru,293278, začasno in občasno delo

POLNJENJE POLIC,"4,13",LJUBLJANA RUDNIK,"Polnjenje polic na oddelku pijač, čistilnih praškov ali na oddelku špecerije. Pogoj je znanje slovenskega jezika. Stimulativno plačilo do 5,5 Ă˘Â‚Â¬/h bruto. Pokliči ali pošlji prijavo s kontaktno številko na e-naslov.",4, DLJE ČASA (OBČASNO), Med vikendom,293263, začasno in občasno delo

STREŽBA,"5,07",MARIBOR CENTER,Kavarna v centru Maribora potrebuje simpatično osebo za strežbo. Delovni čas je po dogovoru. Izkušnje so obvezne.,1, DLJE ČASA (OBČASNO), Po dogovoru,293261, začasno in občasno delo

POLNJENJE POLIC (DELO V TRGOVINI),"4,65",LJUBLJANA BTC,"Pogoj je starost nad 16 let. Polnjenje polic v trgovini. Med tednom in v soboto je urna postavka 5,5 Ă˘Â‚Â¬ bruto, v nedeljo pa 6 Ă˘Â‚Â¬ bruto.",1, DLJE ČASA (OBČASNO), Izmensko,293245, začasno in občasno delo

STREŽBA,"5,00",IZOLA,Podjetje išče polnoletno osebo za samostojno delo v strežbi.,1, DLJE ČASA (OBČASNO), Izmensko,293228, začasno in občasno delo

ČIŠČENJE,"4,30",ŽUŽEMBERK,Za delo niso potrebne izkušnje. Urnik je prilagodljiv vašim obveznostim. Pospravljajo se sobe po odhodu gostov ter  ureditev okolice hiše s prenočišči (pometanje). Poleg urne postavke se doda še stimulacija za dobro opravljeno delo.,1, PO DOGOVORU, Po dogovoru,293213, začasno in občasno delo

STREŽBA,"4,50",KOPER,"Podjetje išče osebe za strežbo. Pogoj je starost nad 18 let. Plačilo 5,33 - 7,10 Ă˘Â‚Â¬/h bruto. Podjetje nudi tedenska plačila. Lahko se dela tudi samo med vikendi.",2, DLJE ČASA (OBČASNO), Po dogovoru,291245, začasno in občasno delo

STREŽBA,"5,00",ZAGORJE,Podjetje išče osebo za samostojno delo v strežbi. Pogoj je starost nad 18 let in izkušnje.,1, DLJE ČASA (OBČASNO), Izmensko,291230, začasno in občasno delo

DELO V TURIZMU (PROMOCIJA),"6,00",LJUBLJANA,"Za promocijo rečne plovbe po Ljubljanici potrebujejo komunikativno in prodajno naravnano osebo, ki ima rada delo z ljudmi (domačimi in tujimi gosti). Obvezno znanje angleškega jezika, zaželeno tudi italjanskega ali drugih jezikov. Urnik je o dogovoru. Prijave sprejemajo na elektronski naslov ali preko telefona.",3, PO DOGOVORU, Po dogovoru,291216, začasno in občasno delo

ANIMATOR (VODNIK),"7,50",LJUBLJANA,"Turistično podjetje išče italijansko govoreče študente/ke za izvajanje večernih tur ogleda nočnega življenja v prestolnici. Zadostuje tudi pogovorna raven sporazumevanja v italijanščini. Pogoji: starost nad 18 let, komunikativnost in veselje do spoznavanja novih ljudi. Izkušnje niso obvezne, vsega te naučijo v podjetju.",2, DLJE ČASA (OBČASNO), Med vikendom,291183, začasno in občasno delo

PROMOCIJA (DELO NA TERENU),"6,00",LJUBLJANA IN PO TERENU,"Promocija in izpolnjevanje nagradnih letakov. Pogoji: starost nad 18 let, komunikativnost, simpatičnost, energičnost in urejenost. Izkušnje so zaželene. Poleg urne postavke ob dobrem delu podjetje plača tudi stimulacijo.",2, DLJE ČASA (OBČASNO), Po dogovoru,291180, začasno in občasno delo

STREŽBA,"5,50",GROSUPLJE,"Podjetje potrebuje komunikativno osebo za strežbo pijače. Izkušnje niso potrebne. Pogoj za delo je polnoletnost. Prednost imajo študentje, ki bi delali med vikendi in med tednom tudi v času študija.",3, PO DOGOVORU, Izmensko,291146, začasno in občasno delo

STREŽBA,"6,76",IOC TRZIN,"V pubu iščejo resne, zanesljive, prijazne in komunikativne študente za delo v strežbi. Če te delo zanima  ne odlašaj in jim piši na e-mail ali pokliči.",3, DLJE ČASA, Izmensko,291140, začasno in občasno delo

STREŽBA,"5,50",DOB PRI DOMŽALAH,Picerija išče energične polnoletne osebe za pomoč v strežbi. Izkušnje zaželene.,1, DLJE ČASA (OBČASNO), Med vikendom,291137, začasno in občasno delo

STREŽBA,"5,07",LJUBLJANA Z OKOLICO,Vodilno podjetje na področju cateringa in gostinske dejavnosti na slovenskem tržišču išče več polnoletnih osebo za pomoč v strežbi. Potrebujejo pridne posameznike za delo v zanesljivem in referenčem podjetju. Pri dosegu norme se urna postavka  zviša na 7 Ă˘Â‚Â¬/bruto.  Prijavo pošlji na e-mail.,5, DLJE ČASA (OBČASNO), Po dogovoru,291126, začasno in občasno delo

DELO V IGRALNICI (DELO S STRANKAMI),"4,13",KRANJSKA GORA,"Biljeter - receptor na igralniški recepciji ter delo na info točki - informiranje gostov (deljeno delovno mesto). Urna postavka je odvisna od narave dela ter dela dneva in znaša od 4,89 Ă˘Â‚Â¬ bruto do 5,61 Ă˘Â‚Â¬ bruto. Podjetje povrne tudi stroške prevoza. Pogoji: starost nad 18 let, znanje nemškega in italijanskega jezika. Vloge pošljite na e-mail.",3, DLJE ČASA (OBČASNO), Izmensko,291123, začasno in občasno delo

STREŽBA,"5,00",MARIBOR,Pogoja sta komunikativnost in urejenost.,2, PO DOVOVORU, Po dogovoru,288595, začasno in občasno delo

LAŽJA FIZIČNA DELA (UREJANJE OKOLICE),"4,13",LJUBLJANA,Podjetje išče osebo za pomoč pri prodaji. Zaželene izkušnje v prodaji. Pogoj: starost nad 18 let.,1, DLJE ČASA (OBČASNO), Po dogovoru,288483, začasno in občasno delo

STREŽBA,"6,00",KAMNIK,"V prijetnem lokalu na kamniški obvoznici potrebujejo osebo za delo v strežbi. Pogoji: urejenost, odgovornost, prijaznost in izkušnje.",3, PO DOGOVORU, Izmensko,288454, začasno in občasno delo

STREŽBA HRANE IN PIJAČE,"5,40",MALEČNIK,"Podjetje potrebuje dve osebi za strežbo. Pogoji: starost nad 18 let, urejenost, prijaznost, spretnost in izkušnje v strežbi. Pričetek dela je takoj.",2, DLJE ČASA (OBČASNO), Izmensko,288396, začasno in občasno delo

DELO V KUHINJI,"5,50",MALEČNIK,Podjetje išče osebo za delo v kuhinji. Pogoj: izkušnje. Oseba naj bo iz stroke (gostinska šola ali podobno).,1, PO DOGOVORU, Po dogovoru,288395, začasno in občasno delo

POMOČ V KUHINJI,"4,50",RADIZEL,Podjetje potrebuje dve osebi za pomoč v kuhinji. Zaželen ljubitelj žara.,2, DLJE ČASA (OBČASNO), Izmensko,288392, začasno in občasno delo

STREŽBA HRANE IN PIJAČE,"4,50",RADIZEL,Podjetje potrebuje štiri osebe za strežbo hrane in pijače. Zaželen ljubitelj žara.,4, DLJE ČASA (OBČASNO), Izmensko,288389, začasno in občasno delo

