naslov,postavka_neto,lokacija,opis,prosta_mesta,trajanje,delovnik,sifra,narava_dela
POMOČ V TRGOVINI,"5,07",LJUBLJANA,Trgovsko podjetje potrebuje osebo za delo na oddelku delikatese ... Za več informacij pokličite.,1, DLJE ČASA (OBČASNO), Izmensko,308191, začasno in občasno delo

POMOČ UPORABNIKOM,"5,07",LJUBLJANA,"Iščejo komunikativne osebe za podporo uporabnikom na spletni strani preko e-mailov, telefonov in online chata. Dodatno znanje kakšnega od tujih jezikov (hrvaščina, nemščina, italijanščina) je več kot dobrodošlo. V kolikor se tudi smučate oz. snow-boardate pa je kombinacija idealna.",3, 5 MESECEV, Izmensko,308187, začasno in občasno delo

GRADBENA DELA,"5,00",LJUBLJANA,"Za slikopleskarska dela, suhomontažna dela (knauf) in razna ostala lažja gradbena dela potrebujejo polnoletbno osebo. Delovnik je dopoldanski, sobote po želji. So družinsko podjetje in iščejo pridnega mladega delavca ki bi se želel naučiti kaj novega in pridobiti življenske izkušnje. Možna tudi kasnejša redna zaposlitev.",1, DLJE ČASA (OBČASNO), Dopoldan,308186, začasno in občasno delo

VULKANIZERSKA DELA,"5,50",LJUBLJANA,"Menjava avtomobilskih pnevmatik - vijačenje koles, montaža/demontaža v vulkanizerski delavnici.",2, DO  CCA 1.12., Izmensko,308183, začasno in občasno delo

DELO NA RAČUNALNIKU,"5,00",TRZIN,"V podjetju ki se ukvarja s spletno prodajo zaradi povečanega obsega del iščejo osebi za vpisovanje izdelkov v sistem Wordpress. Pogoj je odlična računalniška pismenost, zaželeno osnovno poznavanje Wordpressa. Vse ostalo te naučijo. Delo bo potekalo od 8.00 dalje.",2, DLJE ČASA (OBČASNO), Dopoldan,308182, začasno in občasno delo

DELO Z OTROKI,"4,13",LJUBLJANA,Za delo z otroki v vrtcu potrebujejo več oseb. Zaželene izkušnje in  izobrazba sorodnih smeri.,6, DLJE ČASA (OBČASNO), Po dogovoru,308181, začasno in občasno delo

BLAGAJNIK,"4,65",LJUBLJANA BTC,"Delo na blagajni v trgovini Emporium. Pogoji: komunikativnost, prijaznost, energičnost, delavnost, odgovornost, urejenost ter veliko časovne razpoložljivosti. Zaželene  izkušnje. Začetna (uvajanje) urna postavka je 5,5 Ă˘Â‚Â¬/h bruto, kasneje se zvišuje glede na delovno uspešnost. Nedeljska urna postavka pa je +2,5 Ă˘Â‚Â¬/h bruto. Prijavo pošlji na e-naslov.",3, DLJE ČASA (OBČASNO), Izmensko,308180, začasno in občasno delo

PROGRAMIRANJE,"5,60",DOMŽALE,"Iščejo študenta/ko za programiranje PLC krmilnikov in SCADA sistemov. Potrebno je osnovno znanje programiranja PLC krmilnikov, drugo se bo oseba naučila tekom dela. Prednost imajo študenti/tke fakultete za elektrotehniko. V času uvajanja (prva 2 meseca) bo plačilo 5,33 Ă˘Â‚Â¬/h bruto.",1, PO DOGOVORU, Po dogovoru,308174, začasno in občasno delo

